siren,siret_siege,denomination,nom_usage,sigle,naf,naf_numerique,tags_numerique,categorie_juridique,famille_ess,flag_ess_sirene,est_active,date_creation,tranche_effectifs,annee_effectifs,categorie_entreprise,caractere_employeur,societe_mission,rna,code_postal,commune,site_web,nom_structure_porteuse,sources,origines,methode_jointure,confiance_jointure,score_enrichissement
309266633,30926663300036,CENTRE ECONOMIE GESTION POUR ARTISANS,,,62.02A,True,conseil_it,9260.0,association,True,False,1985-01-18,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
309370997,30937099700038,CTRE INTERDEP TRAIT INFORM MUTUEL AGRI,,CITIMAM,63.11Z,True,hebergement,9220.0,association,True,True,1900-01-01,NN,,PME,,,W822002901,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.75
309859767,30985976700035,GROUPE ETUDE RECHERCHE INFORMAT APPLIQ,,GERIA,62.01Z,True,dev_logiciel,9220.0,association,True,True,1900-01-01,NN,,PME,,,W751044180,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.75
310238894,31023889400037,CONSEILS ET SERVICES POUR L'INFORMATIQUE,,CSI,58.29C,True,edition_logiciel,5560.0,cooperative,True,True,1977-01-01,NN,,,,,,,,,,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,0.67
311158380,31115838000031,CAICL INFORM CONSTR DE LORRAIN,,,63.11Z,True,hebergement,9260.0,association,True,True,1984-01-01,01,2023.0,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
311337240,31133724000031,SOCIETE DES PHARMACIENS DU CENTRE,,SPC,63.11Z,True,hebergement,5560.0,cooperative,True,True,1977-01-01,12,2023.0,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
311768972,31176897200037,CIMA EST,,,63.11Z,True,hebergement,9220.0,association,True,True,1900-01-01,NN,,PME,,,W543002917,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.75
312365042,31236504200034,CIMARAL CENT INFORM MUT AGRICO,,,62.02A,True,conseil_it,9220.0,association,True,True,1978-01-01,NN,,,,,,,,,,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,0.67
312409204,31240920400012,NOISY LE GRAND AUJOURD HUI DEMAIN,,,63.11Z,True,hebergement,9220.0,association,True,True,1978-01-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
312868755,31286875500017,ASSOCIATION  POUR LE PAYS D' OC,,,63.11Z,True,hebergement,9220.0,association,True,True,1978-01-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
313167116,31316711600018,SERVICES ET MAINTENANCE INFORMATIQUE,,,62.01Z,True,dev_logiciel,5532.0,,True,True,1978-01-01,NN,,GE,,,,,,,,ess_france|sirene,ess_flag_insee|ess_x_naf,siren_direct,1.0,0.58
313641557,31364155700035,OFFICE GESTION ENTREP ARTISANALES OISE,,OGEA,62.02A,True,conseil_it,9220.0,association,True,True,1978-01-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
313967945,31396794500012,SYNERGIE EST @RSOE - UNION DE COOPERATIVES DE SERVICES AUX ORGANISMES D'ELEVAGE ET D'EXPLOITATION DES DONNEES,,,62.01Z,True,dev_logiciel,6318.0,cooperative,True,False,1978-01-01,NN,,,,,,,,,,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,0.67
314175613,31417561300012,UNION COOP AGR CENTRE POUR INFORM GESTI,,UCACIG,62.01Z,True,dev_logiciel,6318.0,cooperative,True,False,1977-07-01,NN,,,,,,,,,,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,0.67
315249771,31524977100017,ASS GESTION INFORMAT BATIM TRAVAUX PUBLI,,,63.11Z,True,hebergement,9220.0,association,True,True,1979-01-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
315576983,31557698300011,INSTITUT DE SEMINAIRES INTERNA,,,63.11Z,True,hebergement,9220.0,association,True,True,1979-01-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
