siren,denominationUniteLegale,nomUniteLegale,activitePrincipaleUniteLegale,economieSocialeSolidaireUniteLegale,categorieJuridiqueUniteLegale,trancheEffectifsUniteLegale,sources,methode_jointure
902623446,WOULLYX IT,,62.02A,O,5499,NN,sirene,siren_direct
902656206,FRANSOFT,,62.02A,O,5710,01,sirene,siren_direct
902677889,EDO SI CONSULTING,,62.02A,O,5499,NN,sirene,siren_direct
902717842,MA PALETTE,,62.01Z,O,5710,01,sirene,siren_direct
902797463,COMMUNAUTE DE HACKING DE L'ESIEE-IT,,62.01Z,O,9220,NN,sirene,siren_direct
902840719,WINVEER,,63.12Z,O,9220,NN,sirene,siren_direct
902851104,SCILICET,,58.29C,O,5710,NN,sirene,siren_direct
902891738,IZZY DIAG,,62.02A,O,5710,NN,sirene,siren_direct
903007128,13 ASSOCIATION CONNECT SOLIDAIRE (13ACS),,62.01Z,O,9220,NN,sirene,siren_direct
903093987,ASSOCIATION FRWBY,,63.12Z,O,9220,NN,sirene,siren_direct
903301737,OPENWINDMAP,,63.12Z,O,5560,NN,sirene,siren_direct
903307395,FAKIAPPS,,58.21Z,O,5710,NN,sirene,siren_direct
903337525,"SIFRIATENOU, NOTRE BIBLIOTHEQUE",,63.12Z,O,9220,NN,sirene,siren_direct
903337632,ELITE CODE,,62.02A,O,5499,01,sirene,siren_direct
903397024,FONDS DE DOTATION LE PONT,,63.12Z,O,9300,NN,sirene,siren_direct
903406080,LA FABRIQUE A COMPTOIRS,,63.12Z,O,5710,NN,sirene,siren_direct
903511285,TRALELHO,,62.01Z,O,9220,NN,sirene,siren_direct
903573608,GROUPANET,,62.01Z,O,9220,NN,sirene,siren_direct
903642858,SBM,,63.12Z,O,5710,NN,sirene,siren_direct
903692531,SOLIDOO,,62.01Z,O,9220,NN,sirene,siren_direct
903704344,COLINE CARE,,63.12Z,O,5710,01,sirene,siren_direct
903714319,YANOLA,,62.02A,O,5710,03,sirene,siren_direct
903779122,SILO PRODUCTIONS,,63.11Z,O,9220,NN,sirene,siren_direct
903786648,FRAKT MOVEMENT,,63.12Z,O,9220,NN,sirene,siren_direct
903864155,DEUSSEARCH - LE 1ER MOTEUR DE RECHERCHE DE JEUX VIDEO EN FONCTION DE TA PERSONNALITE !,,63.12Z,O,9220,NN,sirene,siren_direct
903886786,KS-ENGINEERING,,62.01Z,O,9220,NN,sirene,siren_direct
904022068,PYTORCH-IGNITE,,62.01Z,O,9220,NN,sirene,siren_direct
904094232,FULUTY,,58.21Z,O,9220,NN,sirene,siren_direct
904145984,ELISYS,,58.29C,O,5710,NN,sirene,siren_direct
904154457,TREEGR,,62.01Z,O,5710,01,sirene,siren_direct
904224979,GREENIOTE,,62.01Z,O,5710,NN,sirene,siren_direct
904356037,B-COMPUT,,62.02A,O,5710,NN,sirene,siren_direct
904403060,PRODUCTIV-IT,,62.01Z,O,5710,NN,sirene,siren_direct
904505559,WEJUST,,58.29A,O,5710,11,sirene,siren_direct
904572443,KEY-LAN 2.0 AIDE ET CONSEIL A L'INFORMATIQUE,,62.02A,O,9220,NN,sirene,siren_direct
904580107,ASSOCIATION LUTTE CONTRE LA CYBERCRIMINALITE,,62.02A,O,9220,NN,sirene,siren_direct
904669868,SMARTBACK,,63.11Z,O,5710,03,sirene,siren_direct
904680238,FRENCH-ROLEPLAY,,62.01Z,O,9220,NN,sirene,siren_direct
904750486,LA BIDOUILLE,,63.12Z,O,9220,NN,sirene,siren_direct
904762564,TICKNCOOK,,63.11Z,O,5710,NN,sirene,siren_direct
904927290,LOCCEANS,,63.12Z,O,5499,NN,sirene,siren_direct
904949534,ASSOCIATION TI NUAGE,,63.11Z,O,9220,NN,sirene,siren_direct
905004396,NOTRECINEMA,,63.11Z,O,9220,NN,sirene,siren_direct
905138244,LE BIBLIOCOSME,,63.12Z,O,9220,NN,sirene,siren_direct
905142147,MODE D' EMPLOIS,,63.12Z,O,9220,01,sirene,siren_direct
905151130,NEBULAE,,63.12Z,O,9220,NN,sirene,siren_direct
905171401,L'ATELIER  DU SCRIBE EDITEUR,,63.12Z,O,9220,NN,sirene,siren_direct
905274122,MERDACI CONSULTING,,62.02A,O,5710,NN,sirene,siren_direct
905388195,PROVENCE NUMERIQUE,,62.02B,O,5560,00,sirene,siren_direct
905391975,GAMEWAVE,,63.11Z,O,5499,01,sirene,siren_direct
907495113,CLUB IKOS,,62.01Z,O,9220,NN,sirene,siren_direct
907505523,LOXPERT,,62.01Z,O,5710,NN,sirene,siren_direct
907621015,LA VOIX DU VOTE,,62.01Z,O,9220,NN,sirene,siren_direct
907663975,BEERUS TECH,,62.02A,O,5710,NN,sirene,siren_direct
907690267,ARVOJ,,62.02A,O,5499,NN,sirene,siren_direct
907803506,LIBRAHOST,,63.11Z,O,9220,NN,sirene,siren_direct
907817480,CHERCHE CONCIERGE,,63.12Z,O,9220,NN,sirene,siren_direct
907868921,DES VENTS CLAIRS,,62.01Z,O,9220,NN,sirene,siren_direct
907891121,GM PRODUCTION (GESTION MEDIA PRODUCTION),,63.12Z,O,9220,NN,sirene,siren_direct
907922322,"COR'SPERTU, W.O.C.",,62.01Z,O,9220,NN,sirene,siren_direct
907970966,TAGFLEET,,62.01Z,O,5710,NN,sirene,siren_direct
908243256,EVERYDAY LIFE IMPACT,,62.01Z,O,5710,NN,sirene,siren_direct
908363955,DEAD PIXELS SOCIETY,,62.01Z,O,9220,NN,sirene,siren_direct
908384381,BAROUDEUR,,63.12Z,O,5710,NN,sirene,siren_direct
908484389,EHEBERG GROUP,,63.11Z,O,9220,NN,sirene,siren_direct
908534555,ASSOCIATION ASCLEPIA,,62.02A,O,9220,NN,sirene,siren_direct
908569429,CULTURADVISOR,,63.12Z,O,5710,01,sirene,siren_direct
908638232,KAPOORLABS,,62.01Z,O,9220,NN,sirene,siren_direct
908720022,LE PHARE MUSICAL,,63.12Z,O,9220,NN,sirene,siren_direct
908720311,BREIZH TEK,,62.02A,O,9220,NN,sirene,siren_direct
908853740,L'ARRIERE CUISINE,,63.12Z,O,9220,NN,sirene,siren_direct
