siren;sources;origines;methode_jointure;confiance_jointure;denomination;code_postal;commune;site_web;nom_structure_porteuse;naf;tranche_effectifs;categorie_juridique;denomination__tiers_lieux;code_postal__tiers_lieux;commune__tiers_lieux;site_web__tiers_lieux;denomination__ess_numerique;denomination__cate_juridique;nom_usage;famille_ess;naf_numerique;tags_numerique
321069874;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ASSOCIATION CHAMPOLLION;;;;;62.01Z;NN;9220.0;;;;;;;;association;True;dev_logiciel
321079600;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;IMAGICIEL;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
322259425;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;AIDE INFORMATION COLLECTIVITE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
322747510;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;COMITE DU MARRON DE REDON;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
322837253;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ASS REN ETUDE COMMUNAUTES EURO;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
323169060;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;BUR INTER AFGHANISTAN;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
323378067;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ISC CREATION ENTREPRISE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
324006188;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;LOGICENTRE HLM;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
324079508;ess_france|sirene;ess_numerique;siren_direct;;TECHNIQUES - GESTION INFORMATIQUE;;;;;63.11Z;;;;;;;;;;;True;hebergement
324082049;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ASSO REGARD SUR PARIS;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
324144831;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;POUR L ART;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
324180991;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;CENTRE RECHER INFORM FEMINISTE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
