siren,sources,origines,methode_jointure,confiance_jointure,denomination,code_postal,commune,site_web,nom_structure_porteuse,naf,tranche_effectifs,categorie_juridique,group_naf,group_cate,denomination__tiers_lieux,code_postal__tiers_lieux,commune__tiers_lieux,site_web__tiers_lieux,nom_usage,denomination__ess_x_naf,denomination__cate_x_naf,denomination__ess_flag_insee,famille_ess,naf_numerique,tags_numerique,naf_enrich_source,naf_enrich_method,categorie_juridique_enrich_source,categorie_juridique_enrich_method,tranche_effectifs_enrich_source,tranche_effectifs_enrich_method,denomination_enrich_source,denomination_enrich_method,nom_usage_enrich_source,nom_usage_enrich_method,sigle_enrich_source,sigle_enrich_method,sigle,date_creation_enrich_source,date_creation_enrich_method,date_creation,est_active_enrich_source,est_active_enrich_method,est_active,rna_enrich_source,rna_enrich_method,rna,flag_ess_sirene_enrich_source,flag_ess_sirene_enrich_method,flag_ess_sirene,caractere_employeur_enrich_source,caractere_employeur_enrich_method,caractere_employeur,categorie_entreprise_enrich_source,categorie_entreprise_enrich_method,categorie_entreprise,societe_mission_enrich_source,societe_mission_enrich_method,societe_mission,annee_effectifs_enrich_source,annee_effectifs_enrich_method,annee_effectifs,siret_siege,siret_siege_enrich_source,siret_siege_enrich_method
308245828,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,CENTRE LATINO AMERICAIN,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement,,,,,,,,,,,,,,sirene,siren_direct,1976-04-30,sirene,siren_direct,True,,,,sirene,siren_direct,True,,,,sirene,siren_direct,PME,,,,,,,30824582800022,sirene,siren_direct
308391358,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASS SECR OBJE CONSCIENCE,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement,,,,,,,,,,,,,,sirene,siren_direct,1900-01-01,sirene,siren_direct,True,,,,sirene,siren_direct,True,,,,sirene,siren_direct,PME,,,,,,,30839135800014,sirene,siren_direct
309032589,sirene,cate_x_naf,siren_direct,1.0,CENTRE INFORMATIQUE HLM DE PICARDIE,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement,,,,,,,,,,,sirene,siren_direct,CIPHLM,sirene,siren_direct,1900-01-01,sirene,siren_direct,False,,,,,,,,,,,,,,,,,,,30903258900025,sirene,siren_direct
309265981,tiers_lieux,tiers_lieux,scoring,1.0,Le Kaléidoscope,76140.0,LE PETIT QUEVILLY,http://www.le-kaleidoscope.fr,Les Copeaux Numériques,74.8B,NN,5499,,,,,,,,,,,,False,,sirene,siren_direct,sirene,siren_direct,sirene,siren_direct,,,,,,,,sirene,siren_direct,1977-12-25,sirene,siren_direct,True,,,,,,,,,,,,,,,,,,,30926598100022,sirene,siren_direct
309266633,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,CENTRE ECONOMIE GESTION POUR ARTISANS,,,,,62.02A,NN,9260.0,group_naf_2,group_cate_2,,,,,,,,,association,True,conseil_it,,,,,,,,,,,,,,sirene,siren_direct,1985-01-18,sirene,siren_direct,False,,,,sirene,siren_direct,True,,,,sirene,siren_direct,PME,,,,,,,30926663300036,sirene,siren_direct
309370997,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,CTRE INTERDEP TRAIT INFORM MUTUEL AGRI,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement,,,,,,,,,,,sirene,siren_direct,CITIMAM,sirene,siren_direct,1900-01-01,sirene,siren_direct,True,sirene,siren_direct,W822002901,sirene,siren_direct,True,,,,sirene,siren_direct,PME,,,,,,,30937099700038,sirene,siren_direct
309859767,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,GROUPE ETUDE RECHERCHE INFORMAT APPLIQ,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel,,,,,,,,,,,sirene,siren_direct,GERIA,sirene,siren_direct,1900-01-01,sirene,siren_direct,True,sirene,siren_direct,W751044180,sirene,siren_direct,True,,,,sirene,siren_direct,PME,,,,,,,30985976700035,sirene,siren_direct
310238894,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,CONSEILS ET SERVICES POUR L'INFORMATIQUE,,,,,58.29C,NN,5560.0,group_naf_1,group_cate_2,,,,,,,,,cooperative,True,edition_logiciel,,,,,,,,,,,sirene,siren_direct,CSI,sirene,siren_direct,1977-01-01,sirene,siren_direct,True,,,,sirene,siren_direct,True,,,,,,,,,,,,,31023889400037,sirene,siren_direct
311158380,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,CAICL INFORM CONSTR DE LORRAIN,,,,,63.11Z,01,9260.0,group_naf_1,group_cate_2,,,,,,,,,association,True,hebergement,,,,,,,,,,,,,,sirene,siren_direct,1984-01-01,sirene,siren_direct,True,,,,sirene,siren_direct,True,,,,sirene,siren_direct,PME,,,,sirene,siren_direct,2023.0,31115838000031,sirene,siren_direct
311337240,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,SOCIETE DES PHARMACIENS DU CENTRE,,,,,63.11Z,12,5560.0,group_naf_1,group_cate_2,,,,,,,,,cooperative,True,hebergement,,,,,,,,,,,sirene,siren_direct,SPC,sirene,siren_direct,1977-01-01,sirene,siren_direct,True,,,,sirene,siren_direct,True,,,,sirene,siren_direct,PME,,,,sirene,siren_direct,2023.0,31133724000031,sirene,siren_direct
